date,000016.XSHG,000905.XSHG,000300.XSHG,399673.XSHE
2015/1/5,2649.64,5417.02,3641.54,1405.92
2015/1/6,2629.4,5479.86,3641.06,1486.42
2015/1/7,2635.23,5488.24,3643.79,1468.71
2015/1/8,2558.11,5444.04,3559.26,1490.81
2015/1/9,2569.02,5409.06,3546.72,1503.31
2015/1/12,2543.85,5332.22,3513.58,1540.04
2015/1/13,2527.83,5405.09,3514.04,1552.01
2015/1/14,2534.23,5379.74,3502.42,1540.92
2015/1/15,2632.89,5449.04,3604.12,1544.68
2015/1/16,2653.03,5520.12,3635.15,1607.68
2015/1/19,2410.2,5281.9,3355.16,1592.76
2015/1/20,2403.72,5472.51,3396.22,1663.13
2015/1/21,2542.32,5611.69,3548.89,1681.16
2015/1/22,2544.31,5690.16,3567.61,1702.43
2015/1/23,2564.51,5633.29,3571.73,1649.34
2015/1/26,2562.36,5758.98,3607.99,1696.57
2015/1/27,2522.1,5773.82,3574.93,1695.23
2015/1/28,2486.28,5739.92,3525.32,1679.1
2015/1/29,2442.04,5701.2,3481.8,1659.95
2015/1/30,2405.38,5632.73,3434.39,1625.94
2015/2/2,2332.53,5609.39,3353.96,1648.01
2015/2/3,2405.76,5707.48,3437.45,1706.7
2015/2/4,2372.45,5683.52,3401.77,1717.25
2015/2/5,2348.92,5654.22,3366.95,1739.08
2015/2/6,2325.24,5534.78,3312.42,1686.46
2015/2/9,2366.77,5504.97,3345.92,1660.88
2015/2/10,2403.55,5580.7,3406.94,1708.96
2015/2/11,2415.13,5641.79,3434.12,1733.54
2015/2/12,2416.45,5681.34,3442.87,1746.3
2015/2/13,2427.47,5769.27,3469.83,1785.65
2015/2/16,2431.21,5869.71,3499.48,1869.56
2015/2/17,2445.26,5911.1,3522.32,1864.52
2015/2/25,2407.46,5906.54,3478.73,1844.64
2015/2/26,2478.06,5969.56,3566.3,1849.09
2015/2/27,2474.59,6018.46,3572.84,1895.68
2015/3/2,2479.24,6139.79,3601.26,1949.56
2015/3/3,2396.8,6118.66,3507.9,1914.18
2015/3/4,2397.99,6210.42,3530.82,1957.48
2015/3/5,2366.9,6208.99,3496.34,1961.62
2015/3/6,2371.62,6133.03,3478.52,1900.62
2015/3/9,2429.87,6212.24,3537.75,1949.08
2015/3/10,2395.43,6276.48,3520.61,2009.72
2015/3/11,2408.5,6262.89,3524.65,1995.9
2015/3/12,2485.11,6260.14,3592.84,1982.04
2015/3/13,2495.28,6329.58,3617.66,2032.74
2015/3/16,2550.86,6516.77,3705.67,2103.15
